Index,PartNumber,Qty,Description,Note,ElectricalComponent,Part_Family_Number,Part_Family_Name,SubSystem,Index_prefix
0092,1070084646,1,BEARING-IDS-26-B2-11-PZZ,null,null,1070127992,Ink_Cabinet_Part_1,Ink_System,Z-0202
0125,1070064542,1,INK RESERVOIR,null,null,1070127992,Ink_Cabinet_Part_1,Ink_System,Z-0202
0125A,1070073729,1,CLOSURE,Lid for closure of jar,null,1070127992,Ink_Cabinet_Part_1,Ink_System,Z-0202
0092,1070072063,1,BEARING-IDS-26-B2-11,null,null,1070127992,Ink_Cabinet_Part_1,Ink_System,Z-0202
0141,1070073728,1,COVER FOR JAR LOCK,null,null,1070127992,Ink_Cabinet_Part_1,Ink_System,Z-0202
0075,1070110883,1,"PBAP,INK_SUPPLY",null,02PBA01,1070127992,Ink_Cabinet_Part_1,Ink_System,Z-0202
0125L,1070127446,1,JAR ASSY (PACKED),null,02M6 (INK_4_STIR_MO) Magenta,1070127992,Ink_Cabinet_Part_1,Ink_System,Z-0202
0125L,1070127446,1,JAR ASSY (PACKED),null,02M4 (INK_3_STIR_MO) Cyan Ink,1070127992,Ink_Cabinet_Part_1,Ink_System,Z-0202
0125L,1070127446,1,JAR ASSY (PACKED),null,02M8 (INK_5_STIR_MO) Black Ink,1070127992,Ink_Cabinet_Part_1,Ink_System,Z-0202
0125L,1070127446,1,JAR ASSY (PACKED),null,02M51 (INK_6_STIR_MO) White,1070127992,Ink_Cabinet_Part_1,Ink_System,Z-0202
0125L,1070127446,1,JAR ASSY (PACKED),null,02M2 (INK_2_STIR_MO) Yellow Ink,1070127992,Ink_Cabinet_Part_1,Ink_System,Z-0202
0075,4120052030,1,"PBAP,IOBOARD_INKSUPPLY_6CH_TANTO",null,02PBA01,1070127992,Ink_Cabinet_Part_1,Ink_System,Z-0202
0075,4120047408,1,"PBAP,IOBOARD_INKSUPPLY_6CH_TANTO",null,02PBA01,1070127992,Ink_Cabinet_Part_1,Ink_System,Z-0202
